sample,t,motor_1,motor_2,motor_3,motor_4,motor_5,motor_6,dh_1,dh_2,dh_3,dh_4,dh_5,dh_6
0.0,1.7000000003264404e-06,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.798248291015625
1.0,0.020209100000000646,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.7986297607421875
2.0,0.0410421000000003,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.7986297607421875
3.0,0.061859800000000575,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.798248291015625
4.0,0.08029799999999998,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.798248291015625
5.0,0.101051,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
6.0,0.12060630000000039,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
7.0,0.14218920000000068,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.798248291015625
8.0,0.16095680000000012,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.7986297607421875
9.0,0.18076520000000063,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.798248291015625
10.0,0.20132700000000003,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.7986297607421875
11.0,0.2218100000000005,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
12.0,0.2412567000000001,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.7986297607421875
13.0,0.2601141,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
14.0,0.2808604000000008,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
15.0,0.3014025,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.7986297607421875
16.0,0.3211707000000006,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
17.0,0.3406771000000006,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.721954345703125,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.594246859005448,1.798248291015625
18.0,0.36168380000000067,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.7986297607421875
19.0,0.3811619000000004,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
20.0,0.40249740000000056,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.798248291015625,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.798248291015625
21.0,0.4203903000000002,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.7986297607421875
22.0,0.4420674,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.7986297607421875
23.0,0.46125290000000074,-1.647186279296875,-0.002288818359375,-0.0030517578125,-0.018310546875,1.7223358154296875,1.7986297607421875,3.065202701087811,2.729811181640625,-1.58583839733782,-0.018310546875,-1.5946283287320104,1.7986297607421875
